Abandoned Vehicle{vin='5BCIO47BADY666668', streetName='KUNIA RD', vehicleMake=subaru, reportedDate=4/13/2013}
Abandoned Vehicle{vin='1ZQOH9IADO158419', streetName='ROSE ST (KAPALAMA)', vehicleMake=subaru, reportedDate=8/20/2013}
Abandoned Vehicle{vin='1UKQC2KYZL979854', streetName='KEWALO ST', vehicleMake=subaru, reportedDate=6/8/2016}
Abandoned Vehicle{vin='1ZFHB71UQFS854232', streetName='PIIKOI ST', vehicleMake=subaru, reportedDate=3/20/2013}
Abandoned Vehicle{vin='3MIUG5WREX288337', streetName='RIDGE AVE', vehicleMake=subaru, reportedDate=3/2/2016}
Abandoned Vehicle{vin='1PXOL5RFFV447192', streetName='KUAHELANI AVE', vehicleMake=subaru, reportedDate=4/1/2012}
Abandoned Vehicle{vin='5IRUN24GPDB596792', streetName='KAIKO ST', vehicleMake=subaru, reportedDate=9/1/2012}
Abandoned Vehicle{vin='3ONKZ10WWSO260043', streetName='PIIKOI ST', vehicleMake=subaru, reportedDate=2/12/2011}
Abandoned Vehicle{vin='5COHJ71GKVC972267', streetName='IUIU ST', vehicleMake=subaru, reportedDate=10/3/2016}
Abandoned Vehicle{vin='5LJPT39JABO857559', streetName='ILALO ST', vehicleMake=subaru, reportedDate=3/6/2012}
Abandoned Vehicle{vin='5JIYB85FQYC536713', streetName='AILUNA ST', vehicleMake=subaru, reportedDate=2/13/2013}
Abandoned Vehicle{vin='5HADW48HOTN889132', streetName='LAALOA ST', vehicleMake=subaru, reportedDate=3/21/2016}
Abandoned Vehicle{vin='5ESHD59UMZL790405', streetName='WAILEPO ST', vehicleMake=subaru, reportedDate=5/11/2014}
Abandoned Vehicle{vin='4JHDR37CJZO469193', streetName='PUALEI CIR', vehicleMake=subaru, reportedDate=8/19/2014}
Abandoned Vehicle{vin='3SNJR14SDWU743799', streetName='PAHU ST', vehicleMake=subaru, reportedDate=3/18/2014}
Abandoned Vehicle{vin='1WNIF7DGLM181375', streetName='ULANA ST', vehicleMake=subaru, reportedDate=5/12/2014}
Abandoned Vehicle{vin='1NUOS61XVAX855782', streetName='KAIHOLENA PL', vehicleMake=subaru, reportedDate=9/28/2013}
Abandoned Vehicle{vin='1EACF5YDGT127236', streetName='16TH AVE', vehicleMake=subaru, reportedDate=11/9/2015}
Abandoned Vehicle{vin='2FITR80NNUV948652', streetName='LEIALOHA AVE', vehicleMake=subaru, reportedDate=12/24/2011}
Abandoned Vehicle{vin='5YYPW3NOYN226142', streetName='KUKILA ST', vehicleMake=subaru, reportedDate=7/22/2013}
Abandoned Vehicle{vin='3JPGB35IPAG748695', streetName='POALIMA ST', vehicleMake=subaru, reportedDate=11/9/2016}
Abandoned Vehicle{vin='5IVUB59FWPG590023', streetName='PROSPECT ST', vehicleMake=subaru, reportedDate=1/24/2012}
Abandoned Vehicle{vin='4QNIV98YTZM446786', streetName='PROSPECT ST', vehicleMake=subaru, reportedDate=9/3/2011}
Abandoned Vehicle{vin='4VAHI53DNPG879107', streetName='MAKIKI ST', vehicleMake=subaru, reportedDate=1/30/2012}
Abandoned Vehicle{vin='2CYQG55TBEN112743', streetName='NOELANI ST', vehicleMake=subaru, reportedDate=3/24/2015}
Abandoned Vehicle{vin='5HIFI67DHNY32057', streetName='18TH AVE', vehicleMake=subaru, reportedDate=4/20/2017}
Abandoned Vehicle{vin='1EQDH42LTWT878436', streetName='WANAAO RD', vehicleMake=subaru, reportedDate=9/9/2016}
Abandoned Vehicle{vin='1GVYH7FLXO402175', streetName='ALAKOKO ST', vehicleMake=subaru, reportedDate=3/10/2012}
Abandoned Vehicle{vin='5VLPB70LGUJ693770', streetName='HIAPAIOLE LP', vehicleMake=subaru, reportedDate=9/7/2014}
Abandoned Vehicle{vin='2JSRP41UPYM21450', streetName='AIALII ST', vehicleMake=subaru, reportedDate=7/17/2013}
Abandoned Vehicle{vin='2PYCV2GYTI443588', streetName='ANAPUNI ST', vehicleMake=subaru, reportedDate=5/15/2012}
Abandoned Vehicle{vin='2PSZZ64YYDA713511', streetName='PALOLO AVE', vehicleMake=subaru, reportedDate=8/29/2017}
Abandoned Vehicle{vin='4ANFP18ZFFS40728', streetName='HAKAI LP', vehicleMake=subaru, reportedDate=1/15/2012}
Abandoned Vehicle{vin='4BLJU40AWRB1836', streetName='LIME ST', vehicleMake=subaru, reportedDate=6/26/2016}
Abandoned Vehicle{vin='2SLVB93PYSB975383', streetName='LOULU ST', vehicleMake=subaru, reportedDate=10/26/2014}
Abandoned Vehicle{vin='2APOC95ICUU602371', streetName='PUALEI CIR', vehicleMake=subaru, reportedDate=10/29/2011}
Abandoned Vehicle{vin='2JTEO19PEXU572705', streetName='AKIPOLA ST', vehicleMake=subaru, reportedDate=1/17/2011}
Abandoned Vehicle{vin='3QDZI89IQMA852876', streetName='KAIHUOPALAAI ST', vehicleMake=subaru, reportedDate=8/2/2013}
Abandoned Vehicle{vin='3PKFX50ZRJJ228057', streetName='ISENBERG ST', vehicleMake=subaru, reportedDate=5/2/2014}
Abandoned Vehicle{vin='4LQVZ53WIQL15150', streetName='PILIUKA PL', vehicleMake=subaru, reportedDate=7/13/2017}
Abandoned Vehicle{vin='5QOJU79GUBR774012', streetName='FRICKE ST', vehicleMake=subaru, reportedDate=8/28/2011}
Abandoned Vehicle{vin='1URHR28HRRP886672', streetName='MAKIKI ST', vehicleMake=subaru, reportedDate=2/10/2014}
Abandoned Vehicle{vin='5PHXM31WRNR270558', streetName='KARSTEN DR', vehicleMake=subaru, reportedDate=10/10/2017}
Abandoned Vehicle{vin='5WHJA16WGUD810075', streetName='WINAM AVE', vehicleMake=subaru, reportedDate=10/18/2014}
Abandoned Vehicle{vin='5VTPF19HOYC258736', streetName='PALAMA ST', vehicleMake=subaru, reportedDate=9/9/2015}
Abandoned Vehicle{vin='2PZTF87EIWY324268', streetName='AIALII ST', vehicleMake=subaru, reportedDate=4/15/2017}
Abandoned Vehicle{vin='2CKRG47KQRE250599', streetName='WAILAWA ST', vehicleMake=subaru, reportedDate=7/23/2017}
Abandoned Vehicle{vin='5DQLN92LMAK138351', streetName='HAUULA HMSTD RD', vehicleMake=subaru, reportedDate=8/19/2015}
Abandoned Vehicle{vin='4GKSE43MMZZ823249', streetName='NALANI ST', vehicleMake=subaru, reportedDate=10/7/2014}
Abandoned Vehicle{vin='5MUXI48JLJZ943785', streetName='MAKAWEO AVE', vehicleMake=subaru, reportedDate=11/10/2013}
Abandoned Vehicle{vin='4CKZR28CFVI336163', streetName='WAIOLI ST', vehicleMake=subaru, reportedDate=5/13/2014}
Abandoned Vehicle{vin='3NQUG54ZFHY828319', streetName='WAIPAHU ST', vehicleMake=subaru, reportedDate=5/29/2012}
Abandoned Vehicle{vin='4LEUL77MVRK852792', streetName='DOMINIS ST', vehicleMake=subaru, reportedDate=8/23/2017}
Abandoned Vehicle{vin='4YADH84IVYZ987500', streetName='SPRECKELS ST', vehicleMake=subaru, reportedDate=11/15/2016}
Abandoned Vehicle{vin='2PNZG36ZCAE834592', streetName='DOMINIS ST', vehicleMake=subaru, reportedDate=11/17/2012}
Abandoned Vehicle{vin='5BSYH28SOZS437485', streetName='ANAPUNI ST', vehicleMake=subaru, reportedDate=4/1/2013}
Abandoned Vehicle{vin='5MYUY52MXBO729194', streetName='OHAI ST', vehicleMake=subaru, reportedDate=7/19/2014}
Abandoned Vehicle{vin='2ZUYE7LUPH909688', streetName='ALA POHA PL', vehicleMake=subaru, reportedDate=2/23/2013}
Abandoned Vehicle{vin='3NYMP81NOTE945059', streetName='LANAKOI ST', vehicleMake=subaru, reportedDate=2/22/2016}
Abandoned Vehicle{vin='4FRYJ1PTHN824085', streetName='KAKALA ST', vehicleMake=subaru, reportedDate=4/3/2011}
Abandoned Vehicle{vin='3VNBH35KWBD284276', streetName='6TH AVE', vehicleMake=subaru, reportedDate=7/30/2016}
Abandoned Vehicle{vin='2WYZE24EKQF219585', streetName='PUEONANI ST', vehicleMake=subaru, reportedDate=7/16/2017}
Abandoned Vehicle{vin='4QVPF20NBEG943590', streetName='MAKAPIPIPI ST', vehicleMake=subaru, reportedDate=6/13/2013}
Abandoned Vehicle{vin='3FJWY23AASH193697', streetName='ANAPUNI ST', vehicleMake=subaru, reportedDate=1/31/2012}
Abandoned Vehicle{vin='1YVHV73NCNN632957', streetName='KEALOHI ST', vehicleMake=subaru, reportedDate=4/4/2011}
Abandoned Vehicle{vin='4RJYR84KZJW643052', streetName='HOOLI CIR', vehicleMake=subaru, reportedDate=3/28/2015}
Abandoned Vehicle{vin='2LNNB75DUOO578188', streetName='KEKUANONI ST', vehicleMake=subaru, reportedDate=4/26/2015}
Abandoned Vehicle{vin='3EKWI89KGNI188496', streetName='KEANU ST', vehicleMake=subaru, reportedDate=5/3/2014}
Abandoned Vehicle{vin='5UODX28BKEG527138', streetName='HOIKE PL', vehicleMake=subaru, reportedDate=2/20/2011}
Abandoned Vehicle{vin='4GQGN97MEVM234008', streetName='PALOLO AVE', vehicleMake=subaru, reportedDate=6/24/2016}
Abandoned Vehicle{vin='4IGRH76YLML93614', streetName='9TH AVE', vehicleMake=subaru, reportedDate=6/16/2011}
Abandoned Vehicle{vin='4BZSG14DUZC743351', streetName='MALUHIA ST', vehicleMake=subaru, reportedDate=9/25/2011}
Abandoned Vehicle{vin='2YCTL15GQED183479', streetName='LAUHULU ST', vehicleMake=subaru, reportedDate=12/15/2013}
Abandoned Vehicle{vin='2URYX54EIZI479438', streetName='POKIWAI WAY', vehicleMake=subaru, reportedDate=12/23/2017}
Abandoned Vehicle{vin='3DFXB9MAPZ474903', streetName='BINGHAM ST', vehicleMake=subaru, reportedDate=10/7/2011}
Abandoned Vehicle{vin='2TNJN67SNEC853673', streetName='KEEHUHIWA ST', vehicleMake=subaru, reportedDate=12/25/2015}
Abandoned Vehicle{vin='1WGCI15QIKR616542', streetName='WAIAKAMILO RD', vehicleMake=subaru, reportedDate=11/28/2012}
Abandoned Vehicle{vin='1IUOZ53OZLU833317', streetName='PUPUPUHI ST', vehicleMake=subaru, reportedDate=8/24/2012}
Abandoned Vehicle{vin='2GXFO31CQWW778684', streetName='COOLIDGE ST', vehicleMake=subaru, reportedDate=5/9/2011}
Abandoned Vehicle{vin='4PCPE15LZNU947809', streetName='HAHAIONE ST', vehicleMake=subaru, reportedDate=6/12/2017}
Abandoned Vehicle{vin='3ATCN10CMCK438704', streetName='KAMOKU ST', vehicleMake=subaru, reportedDate=6/13/2013}
Abandoned Vehicle{vin='3QAZD48SMHT24521', streetName='KOLOKOLO ST', vehicleMake=subaru, reportedDate=5/29/2011}
Abandoned Vehicle{vin='5IAKP89FPQM120088', streetName='DATE ST', vehicleMake=subaru, reportedDate=11/27/2015}
Abandoned Vehicle{vin='4WHZJ44ZAVG98123', streetName='HART ST', vehicleMake=subaru, reportedDate=10/27/2016}
Abandoned Vehicle{vin='2XNRP8RKJX85690', streetName='AUYONG HMSTD RD', vehicleMake=subaru, reportedDate=10/27/2016}
Abandoned Vehicle{vin='4NNHK59ROWD107134', streetName='PUHIKANI ST', vehicleMake=subaru, reportedDate=3/13/2011}
Abandoned Vehicle{vin='4DQTO11QTJA412186', streetName='MIKANA ST', vehicleMake=subaru, reportedDate=7/30/2017}
Abandoned Vehicle{vin='4VKGZ59JCVD841642', streetName='MOKULELE DR', vehicleMake=subaru, reportedDate=12/29/2011}
Abandoned Vehicle{vin='4WSFL1OUIF406641', streetName='LAUIKI ST', vehicleMake=subaru, reportedDate=1/29/2014}
Abandoned Vehicle{vin='4BFHU90DKBU783745', streetName='AIALII ST', vehicleMake=subaru, reportedDate=5/12/2014}
Abandoned Vehicle{vin='5RVFH55EWJQ334948', streetName='KAI OIO ST', vehicleMake=subaru, reportedDate=12/13/2014}
Abandoned Vehicle{vin='3XJVX66RUAE217859', streetName='PIIKOI ST', vehicleMake=subaru, reportedDate=1/15/2011}
Abandoned Vehicle{vin='3BYQU5SGBR580073', streetName='KANAINA AVE', vehicleMake=subaru, reportedDate=10/24/2015}
Abandoned Vehicle{vin='2VBJK16TQWY110985', streetName='OLOHIO ST', vehicleMake=subaru, reportedDate=5/31/2014}
